gully,NDVI,Lithology,dist_fault,dist_road,dist_river,soil_textu,Landcover,TWI,TPI,SPI,Slope,Profile_Cu,Plan_Curva,Aspect,DEM,Rainfall
1,0.17153407184,2,787.874,3939.370,540.477,4,6,5.468000,10.567600,-1278.570000,14.931400,0.004009,0.012500,360.000000,948,385.5330
1,0.14123134459,2,5001.240,1910.870,3203.210,7,2,6.440920,1.162160,6576.560000,10.555400,-0.001372,0.004770,153.435000,773,372.3580
1,0.18017028146,2,764.350,1540.600,1377.950,7,6,5.714490,-2.108110,-9771.670000,30.205500,-0.001719,-0.001151,13.240500,691,397.1220
1,0.11396689863,2,191.087,1377.950,787.874,7,1,8.497600,-9.378380,-9731.100000,3.016960,0.000166,-0.087490,288.435000,593,395.7820
1,0.11077232506,5,2866.310,2675.220,974.358,7,3,6.874140,-5.567570,3019.530000,19.689700,-0.004519,0.013578,297.759000,614,377.2790
1,0.17058114968,2,787.874,8891.210,1281.850,7,6,9.400480,-4.648650,85658.400000,10.176500,0.002082,-0.024546,291.801000,1001,365.3500
1,0.22170992742,7,1455.280,6624.980,1719.790,4,4,8.881450,-9.513510,267370.000000,17.012000,-0.003080,-0.022986,330.642000,942,377.2900
1,0.24332517578,1,2447.110,6945.180,2702.380,4,4,8.977320,1.108110,-4238.730000,5.128710,0.001230,-0.007684,338.199000,1363,574.0470
1,0.19291371504,7,1208.540,6955.690,1920.400,4,6,8.858590,-0.783784,-645.136000,3.016960,-0.001051,-0.001054,71.565000,1319,565.0110
1,0.11485602094,7,764.350,6709.860,1632.650,7,2,8.943300,1.351350,-4328.810000,2.698950,0.000831,0.005893,135.000000,1318,560.3030
1,0.10341611788,2,191.087,6153.490,854.569,7,2,8.452360,-1.864860,8082.270000,4.044690,-0.001103,-0.015714,45.000000,1290,548.9790
1,0.09964372957,2,1337.610,5384.460,1162.340,7,2,9.782780,-0.459459,709.057000,3.438910,0.000638,-0.001422,303.690000,1235,538.3580
1,0.20010165097,2,1910.870,5554.700,604.271,4,6,8.084150,-2.945950,-1820.010000,6.091480,-0.001266,-0.003555,38.659800,1180,526.4880
1,0.10565985140,7,573.262,7353.760,0.000,4,2,8.154450,3.027030,-38688.900000,4.763640,0.000550,0.000000,360.000000,1220,548.0940
1,0.10641748527,7,573.262,7954.840,191.087,4,2,8.831010,1.756760,-892.390000,5.710590,0.002189,0.000000,360.000000,1225,541.5340
1,0.09688135399,2,1719.790,8252.230,0.000,4,3,9.483990,-0.891892,-13297.300000,5.550720,0.000258,-0.002690,300.964000,1096,511.4850
1,0.08216812833,2,1709.140,5899.000,191.087,7,3,9.374800,-0.270270,-3077.480000,2.862410,0.000553,0.000000,180.000000,1019,486.0780
1,0.09498863299,5,764.350,7911.110,191.087,7,3,8.214550,1.675680,-11352.300000,4.857530,0.000655,0.005280,78.690100,1096,509.0080
1,0.11159197336,2,5541.530,2178.730,270.238,7,3,5.142000,14.945900,567.170000,16.253900,0.010627,-0.003082,59.036200,292,528.7310
1,0.10374963284,2,4594.050,2293.050,427.284,7,3,6.680060,1.702700,1817.660000,13.421500,0.000531,0.009222,12.094800,274,526.4520
1,0.09583213761,2,3650.720,2702.380,191.087,7,3,6.504570,-8.486490,569.967000,18.962300,-0.004395,-0.012365,345.964000,276,523.4530
1,0.11137951150,3,3650.720,3630.660,764.350,7,3,8.382580,-3.675680,20412.700000,6.721370,-0.000033,-0.009145,278.130000,268,523.0590
1,0.10984639228,2,1351.190,5145.190,573.262,7,3,7.703640,-3.135140,13175.300000,4.044690,-0.001103,-0.031427,225.000000,333,515.9190
1,0.11407330951,2,1080.950,5972.820,191.087,7,2,7.218750,-1.756760,4058.240000,6.853220,-0.001673,-0.004267,303.690000,311,514.8480
1,0.09636129606,2,810.715,7609.980,191.087,7,1,8.702370,-1.459460,-55951.600000,8.478710,-0.000430,-0.004472,296.565000,335,511.1520
1,0.15600351162,2,7203.260,427.284,191.087,7,2,10.153300,-0.378378,-2729.270000,2.134300,0.000111,-0.047703,26.565100,231,547.0170
1,0.16534692228,2,7276.390,427.284,0.000,7,3,8.675950,-0.729730,6725.030000,3.931100,0.000032,0.007609,165.964000,239,541.2590
1,0.15844079499,2,7263.840,382.175,191.087,7,2,8.640990,-0.621622,286.578000,6.379370,0.000109,0.003975,116.565000,247,535.0310
1,0.11323846027,2,6522.210,810.715,0.000,4,1,5.607680,3.324320,11142.100000,20.212600,0.001042,0.002610,174.806000,322,502.7940
1,0.15990401283,2,3163.060,604.271,191.087,4,6,7.820750,-7.945950,15228.000000,6.853220,0.002928,-0.080360,236.310000,342,475.5470
1,0.15704186898,2,2675.220,382.175,0.000,7,1,8.515690,-5.189190,51412.400000,0.954841,-0.000555,-0.066667,180.000000,340,465.7510
